"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [µM]","1A: O2 flux per mass [pmol/(s*mg)]","1B: O2 concentration [µM]","1B: O2 flux per mass [pmol/(s*mg)]","1A: Amp [µM]","1A: Amp flux per mass [pmol/(s*mg)]","1B: Amp [nM]","1B: Amp flux per mass [fmol/(s*mg)]"
85.63,"","","",185.6728,6.5110,184.4505,15.2442,235.3625,7550.1573,1699.5574,-103.8819
85.67,"","","",185.6430,6.6918,184.4552,15.4030,237.3139,7435.3696,1698.2415,-96.9564
85.70,"","","",185.5987,7.2344,184.4425,15.4030,234.9033,7280.4063,1699.9036,-90.0310
85.73,"","","",185.5634,7.9578,184.3933,15.4030,230.7279,7059.4401,1699.9383,-83.1055
85.77,"","","",185.5661,8.3196,184.3774,15.5618,228.6761,6775.3407,1698.9341,-76.1800
85.80,"","","",185.5933,8.6813,184.3877,15.4030,225.5051,6462.5443,1698.3108,-69.2546
85.83,"","","",185.5417,9.2239,184.4211,15.2442,225.4047,6123.9208,1698.3800,-69.2546
85.87,"","","",185.4866,9.7664,184.3838,15.2442,229.8957,5745.1216,1698.8302,-62.3291
85.90,"","","",185.4748,10.4899,184.3647,15.0854,223.3528,5308.9285,1699.1418,-62.3291
85.93,"","","",185.4341,11.3942,184.3480,15.0854,221.2723,4809.6023,1697.9299,-62.3291
85.97,"","","",185.3753,12.6602,184.3464,15.0854,218.4170,4264.3610,1699.5574,-55.4037
86.00,"","","",185.3229,14.1071,184.3274,14.7678,217.8287,3681.8137,1699.1072,-48.4782
86.03,"","","",185.2677,15.7348,184.3163,14.6090,222.3484,3082.0482,1698.7263,-48.4782
86.07,"","","",185.2596,17.3626,184.2980,14.4502,212.3763,2419.1496,1698.3108,-41.5528
86.10,"","","",185.2433,18.9903,184.2750,14.6090,213.9403,1678.7693,1697.7568,-41.5528
86.13,"","","",185.1945,20.7989,184.2139,15.0854,211.8167,921.1708,1699.6266,-34.6273
86.17,"","","",185.1691,22.7884,184.2139,15.0854,209.4922,94.6998,1694.6057,-55.4037
86.20,"","","",185.0697,25.3204,184.2043,14.9266,208.5309,-771.9469,1697.8606,-69.2546
86.23,"","","",185.1465,27.1290,184.1988,14.9266,214.4855,-1572.5907,1697.0988,-83.1055
86.27,"","","",185.1637,28.5759,184.1964,14.7678,151.9980,-1902.6052,1697.2720,-96.9564
86.30,"","","",185.0932,29.6611,184.2139,14.7678,134.4355,-2140.7896,1697.9991,-96.9564
86.33,"","","",185.1122,29.8419,184.1869,14.9266,133.9907,-2361.7558,1699.1072,-90.0310
86.37,"","","",185.1330,29.6611,184.1678,14.7678,133.6606,-2588.4614,1699.0726,-90.0310
86.40,"","","",185.1167,29.1185,184.1702,14.4502,125.6399,-2809.4276,1698.2069,-90.0310
86.43,"","","",185.0670,28.5759,184.1495,14.2914,128.7678,-2984.4787,1697.6182,-83.1055
86.47,"","","",185.0335,28.2142,184.1368,14.1326,131.4223,-3136.5724,1697.5144,-83.1055
86.50,"","","",185.0154,28.0333,184.0559,14.4502,119.0396,-3325.9720,1698.6917,-76.1800
86.53,"","","",184.9811,27.6716,184.0050,14.9266,125.7403,-3463.7172,1699.7305,-69.2546
86.57,"","","",184.9087,27.6716,183.9947,15.0854,124.1907,-3601.4623,1698.2069,-69.2546
86.60,"","","",184.8626,27.6716,183.9796,15.4030,116.6577,-3727.7287,1697.3759,-62.3291
86.63,"","","",184.8617,27.6716,183.9765,15.5618,119.5131,-3825.2982,1697.6529,-55.4037
86.67,"","","",184.8481,27.4907,183.9868,15.5618,118.0352,-3908.5193,1696.7872,-55.4037
86.70,"","","",184.7821,27.3099,183.9487,15.7205,115.0650,-3994.6100,1694.5710,-69.2546
86.73,"","","",184.7568,27.3099,183.9534,15.5618,118.0782,-4040.5251,1694.1555,-76.1800
